State,Delay reason
ANDHRA PRADESH,Other
ARUNACHAL PRADESH,Measurement book
ASSAM,Measurement book
BIHAR,Measurement book
CHHATTISGARH,Measurement book
GOA,Measurement book
GUJARAT,Measurement book
HARYANA,Measurement book
HIMACHAL PRADESH,Measurement book
JAMMU AND KASHMIR,Measurement book
JHARKHAND,Measurement book
KARNATAKA,FTO
KERALA,Measurement book
MADHYA PRADESH,Measurement book
MAHARASHTRA,Measurement book
MANIPUR,Measurement book
MEGHALAYA,Measurement book
MIZORAM,Measurement book
NAGALAND,Measurement book
ODISHA,Attendance not filled
PUNJAB,Measurement book
RAJASTHAN,Measurement book
SIKKIM,Measurement book
TAMIL NADU,Measurement book
TELANGANA,Measurement book
TRIPURA,Attendance not filled
UTTAR PRADESH,Measurement book
UTTARAKHAND,Measurement book
WEST BENGAL,Measurement book
ANDAMAN AND NICOBAR,Measurement book
DADRA & NAGAR HAVELI,Other
DAMAN & DIU,Other
LAKSHADWEEP,Measurement book
PUDUCHERRY,Measurement book
Total,
